seqid	RNA1	RNA2	RNA3	RNA4
810	0.718	0.947	1.11	1.184
811	0.8867	1.204	1.411	1.453
812	0.8213	1.001	0.8394	0.8564
813	0.658	0.785	0.9204	0.949
814	0.9004	1.09	1.253	1.287
815	0.9463	1.109	1.341	1.427
816	0.9644	1.24	1.333	1.391
817	0.816	1.025	1.2	1.284
818	0.803	1.103	1.294	1.365
819	0.832	0.9785	1.1875	1.306
820	0.775	1.052	1.301	1.412
821	0.82	1.015	1.29	1.448
822	0.8677	1.048	1.276	1.341
823	0.837	1.1455	1.46	1.649
824	0.6494	0.899	1.136	1.219
825	0.816	0.964	1.155	1.251
826	0.832	1.004	1.226	1.309
827	0.765	1.006	1.255	1.341
828	0.4897	0.8135	1.11	1.203
829	0.646	0.7793	0.8677	0.884
830	1.003	1.238	1.358	1.467
831	0.6587	0.9575	1.172	1.288
832	1.11	1.37	1.57	1.64
833	0.6416	0.845	1.102	1.224
834	0.6763	0.957	1.206	1.404
835	0.7725	0.987	1.21	1.368
836	0.4714	0.956	1.159	1.258
837	0.8706	1.067	1.272	1.357
838	0.7534	1.014	1.236	1.328
839	0.799	0.9565	1.057	1.088
840	0.7686	0.9727	1.174	1.24
841	0.6353	0.844	0.972	0.995
842	0.8003	1.006	1.21	1.318
843	0.9917	1.135	1.403	1.534
844	0.943	1.215	1.419	1.54
845	0.907	1.1455	1.346	1.424
846	0.866	1.15	1.335	1.365
847	0.9604	1.251	1.524	1.652
848	0.9805	1.079	1.262	1.337
849	1.051	1.303	1.486	1.559
850	1.04	1.132	1.322	1.385
851	0.753	1.065	1.285	1.365
852	1.035	1.313	1.489	1.581
853	0.9585	1.174	1.384	1.456
854	0.8066	1.012	1.199	1.269
855	0.7637	0.956	1.212	1.265
856	1.16	1.396	1.611	1.701
857	0.565	0.797	0.983	1.057
858	0.915	1.139	1.299	1.304
859	0.8135	1.123	1.324	1.439
860	0.378	0.6406	0.8164	0.9253
861	0.8345	1.17	1.389	1.465
862	0.6094	0.7646	1.039	1.172
863	0.8115	1.013	1.28	1.43
864	0.849	1.056	1.231	1.285
865	0.998	1.238	1.469	1.554
866	0.627	0.905	1.065	1.167
867	0.832	1.047	1.239	1.327
868	1.007	1.182	1.36	1.4795
869	0.9478	1.137	1.286	1.356
870	1.05	1.247	1.44	1.546
871	0.862	1.0625	1.213	1.313
872	0.69	0.9966	1.217	1.379
873	1.049	1.219	1.439	1.489
874	1.027	1.213	1.432	1.528
875	0.9585	1.207	1.398	1.479
876	0.7793	1.089	1.369	1.504
877	0.8193	0.984	1.158	1.257
878	0.9336	1.234	1.47	1.611
879	0.678	0.8174	1.058	0.5635
880	0.6963	0.93	1.177	1.252
881	0.638	0.8184	0.9785	1.074
882	1.062	1.306	1.454	1.476
883	0.3323	0.5166	0.7026	0.762
884	1.028	1.263	1.384	1.466
885	0.8276	0.974	1.196	1.352
886	0.6274	0.8496	1.022	1.157
887	0.7983	1.042	1.228	1.329
888	0.9043	1.151	1.321	1.341
889	0.9087	1.006	1.177	1.268
890	0.635	0.861	1.05	1.108
891	0.3938	0.6543	0.928	1.012
892	0.9224	1.167	1.339	1.344
893	0.773	0.989	1.226	1.351
894	0.775	1.012	1.227	1.269
895	0.2668	0.5396	0.689	0.731
896	1.028	1.302	1.555	1.644
897	0.803	0.9463	1.185	1.255
898	0.981	1.148	1.262	1.276
899	0.9404	1.261	1.461	1.579
900	0.903	1.163	1.362	1.463
901	0.808	1.086	1.345	1.471
902	1.033	1.306	1.484	1.546
903	0.68	0.8643	1.028	0.7744
904	1.008	1.148	1.292	1.337
905	0.6826	0.92	1.135	1.188
906	0.7627	1.025	1.188	1.249
907	0.743	1.01	1.243	1.377
908	0.8677	1.149	1.397	1.506
909	0.832	1.0205	1.214	0.802
910	0.9604	1.082	1.203	1.281
911	0.5103	0.7153	0.9863	1.127
912	0.713	0.955	1.154	1.258
913	0.789	1.06	1.197	1.274
914	0.7236	0.867	1.047	0.739
915	1.051	1.222	1.29	1.315
916	1.015	1.316	1.536	1.664
917	0.811	1.054	1.182	1.205
918	0.686	0.9497	1.28	1.431
919	0.9785	1.148	1.329	1.402
920	0.9526	1.204	1.416	1.483
921	0.6846	0.97	1.237	1.365
922	1.067	1.307	1.619	1.656
923	0.7764	1.074	1.28	1.384
924	0.7114	0.8804	1.118	1.252
925	0.9526	1.157	1.342	1.435
926	1.195	1.354	1.471	1.461
927	0.627	0.8433	1.147	1.264
928	0.9355	1.134	1.367	1.443
929	1.038	1.302	1.467	1.546
930	0.974	1.238	1.453	1.507
931	0.9277	1.06	1.26	1.36
932	0.981	1.193	1.331	1.427
933	0.8047	0.9087	0.6567	0.707
934	0.974	1.192	1.385	1.396
935	0.9907	1.249	1.496	1.546
936	1.095	1.402	1.576	1.617
937	0.7773	1.021	1.298	1.42
938	0.8154	1.085	1.316	1.377
939	0.636	0.9375	1.216	1.361
940	0.8174	0.9873	1.101	0.8145
941	0.9453	1.237	1.421	1.527
942	0.9155	1.008	1.092	1.15
943	0.24	0.4294	0.7197	0.796
944	0.94	1.151	1.301	1.359
945	1.012	1.32	1.466	1.543
946	0.4658	0.6885	0.94	1.068
947	0.913	1.156	1.323	1.421
948	0.8438	1.08	1.302	1.392
949	0.854	1.067	1.215	1.323
950	0.8867	1.1045	1.314	1.427
951	0.838	1.103	1.401	1.529
952	0.8584	1.079	1.254	1.317
953	0.791	0.964	1.238	1.402
954	0.9883	1.174	1.372	1.463
955	0.8706	1.14	1.332	1.47
956	0.8696	1.001	1.192	1.282
957	0.9385	1.15	1.282	1.338
958	0.6616	0.9277	1.168	1.3
959	1.024	1.282	1.537	1.608
960	0.8823	1.034	1.1875	1.241
961	0.7393	1.038	1.252	1.412
962	1.074	1.429	1.65	1.733
963	1.081	1.308	1.441	1.54
964	1.045	1.266	1.39	1.371
965	0.958	1.164	1.336	0.98
966	0.975	1.215	1.409	1.497
967	0.9287	1.16	1.331	1.38
968	0.549	0.656	0.912	1.073
969	0.9087	1.15	1.382	1.458
970	0.935	1.082	1.3125	1.461
971	0.9253	1.191	1.466	1.639
972	0.9575	1.176	1.333	1.369
973	0.7124	0.899	1.075	1.232
974	0.5063	0.713	0.97	1.083
975	0.983	1.191	1.417	1.508
976	0.813	1.031	1.225	1.247
977	0.9873	1.142	1.35	1.462
978	0.8564	1.083	1.248	1.344
979	0.725	0.94	1.091	1.151
980	0.889	1.075	1.357	1.497
