seqid	RNA1	RNA2	RNA3	RNA4
363	0.9824	1.119	1.238	0.8384
364	0.6025	0.8657	1.124	1.199
365	0.9194	1.087	1.347	1.396
366	1.087	1.304	1.463	1.495
367	1.08	1.401	1.566	1.595
368	0.886	1.055	1.224	1.349
369	0.9575	1.191	1.388	1.464
370	0.684	0.8354	1.002	1.074
371	0.9346	1.093	1.309	1.401
372	0.7827	0.99	1.137	1.195
373	1.012	1.246	1.419	1.406
374	0.822	1.013	1.219	0.899
375	1.189	1.397	1.629	1.705
376	1.062	1.284	1.471	1.545
377	1.175	1.451	1.662	1.731
378	0.7974	1.061	0.7656	0.8125
379	0.9585	1.045	1.13	0.8667
380	0.683	0.86	0.9595	1.003
381	1.005	1.21	1.414	1.471
382	0.7534	0.841	0.969	1.021
383	0.809	0.94	1.128	1.231
384	0.752	0.858	0.998	1.082
385	0.7373	0.86	1.005	1.068
386	0.9746	1.281	1.52	1.588
387	1.095	1.396	1.671	1.862
388	0.7954	1.117	1.302	1.39
389	0.8325	1.094	1.293	1.338
390	0.6416	0.8667	1.114	1.178
391	1.053	1.275	1.406	1.442
392	0.7236	0.99	1.216	1.272
393	0.9727	1.28	1.532	1.61
394	0.875	1.114	1.352	1.512
395	0.7593	1.07	1.332	0.974
396	0.8774	1.139	1.334	1.38
397	0.723	0.8823	1.023	1.115
398	0.9204	1.152	1.348	1.465
399	0.7305	0.9194	1.248	1.379
400	0.8623	1.217	1.425	1.501
401	1.122	1.421	1.658	1.737
402	0.998	1.204	1.345	1.393
403	1.049	1.092	1.185	1.253
404	0.8022	1.03	1.209	1.303
405	0.86	1.023	1.304	1.497
406	0.9106	1.144	1.355	1.445
407	0.7896	1.01	1.253	1.394
408	1.172	1.422	1.574	1.639
409	0.999	1.199	1.406	1.514
410	0.927	1.23	1.435	1.484
411	0.902	1.086	1.235	1.346
412	0.652	0.9126	1.15	1.239
413	0.753	1.076	1.341	1.452
414	0.9478	1.187	1.399	1.458
415	0.839	0.925	1.123	1.262
416	0.907	1.086	1.279	1.294
417	1.003	1.263	1.445	1.493
418	0.765	1.004	1.134	1.159
419	0.6377	0.83	1.006	1.169
420	0.989	1.134	1.343	1.428
421	0.987	1.287	1.455	1.544
422	0.916	1.172	1.383	1.482
423	0.951	1.131	1.295	1.361
424	0.876	1.15	1.401	1.473
425	0.954	1.146	1.448	1.556
426	0.924	1.074	1.23	1.42
427	0.8276	1.038	1.235	1.338
428	0.6406	0.7583	1.025	1.108
429	0.8867	0.9897	1.208	1.279
430	0.989	1.15	1.398	1.487
431	0.8506	1.039	1.174	1.253
432	0.8467	1.051	1.208	1.286
433	0.754	0.949	1.211	1.322
434	1.097	1.415	1.624	1.678
435	1.161	1.433	1.545	1.642
436	0.6445	0.8213	1.05	1.13
437	0.8623	1.139	1.343	1.425
438	0.763	0.976	1.166	0.6807
439	0.995	1.259	1.499	1.578
440	0.748	0.905	1.156	1.29
441	1.153	1.435	1.651	1.666
442	1.057	1.174	1.347	1.428
443	1.054	1.287	1.442	1.498
444	1.062	1.352	1.55	1.603
445	1.114	1.258	1.332	1.389
446	0.8574	1.087	1.276	1.352
447	0.9834	1.246	1.506	1.581
448	0.9614	1.137	1.312	1.393
449	1.037	1.38	1.536	1.538
450	0.7847	0.9805	1.174	1.364
451	0.7954	0.954	1.101	1.162
452	1.088	1.173	1.358	1.365
453	0.8457	1.092	1.376	1.527
454	1.092	1.231	1.396	1.4
455	1.057	1.293	1.469	1.582
456	0.7656	1.037	1.234	1.332
457	0.6167	0.809	0.965	1.017
458	0.8496	1.262	1.522	1.602
459	0.606	0.772	0.921	0.971
460	0.788	1.053	1.245	1.302
461	0.943	1.135	1.375	1.466
462	0.4282	0.617	0.822	0.915
463	1.09	1.284	1.516	1.574
464	0.862	1.133	1.354	1.462
465	0.8325	1.088	1.331	1.428
466	0.784	0.9824	1.167	1.204
467	0.7095	0.8833	1.095	1.164
468	0.736	0.96	1.18	1.244
469	1.003	1.235	1.44	1.515
470	1.17	1.493	1.712	1.772
471	0.748	0.8887	1.081	1.143
472	0.722	1.015	1.281	1.384
473	0.276	0.4526	0.697	0.8345
474	0.943	1.09	1.318	1.368
475	0.4954	0.7583	1.037	1.144
476	1.008	1.234	1.496	1.598
477	0.919	1.125	1.323	1.427
478	0.4783	0.7026	0.863	1.006
479	1.064	1.405	1.739	1.885
480	0.349	0.5454	0.7544	0.845
481	0.645	0.942	0.7397	0.7886
482	0.9395	1.265	1.425	1.509
483	0.9194	1.105	1.359	1.491
484	0.7646	0.9404	1.154	0.75
485	0.4048	0.572	0.776	1.037
486	0.7627	0.8843	1.055	0.711
487	0.807	1.101	1.307	1.405
488	0.97	1.203	1.358	1.405
489	1.059	1.3125	1.402	1.421
490	0.8926	1.311	1.636	1.803
491	1.033	1.258	1.438	1.544
492	0.4583	0.735	0.9395	1.009
493	0.7095	1.042	1.365	1.442
494	0.637	0.857	0.952	0.9995
495	0.8506	1.13	1.279	1.337
496	0.8223	1.013	1.14	1.181
497	0.9673	1.22	1.323	1.398
498	0.946	1.2	1.435	1.603
499	1.042	1.322	1.608	1.715
500	1.058	1.258	1.551	1.642
501	0.9985	1.365	1.695	1.838
502	0.9297	1.056	1.145	1.144
503	0.97	1.085	1.315	1.371
504	1.095	1.346	1.548	1.577
505	1.181	1.459	1.598	1.613
506	0.545	0.753	0.877	0.966
507	0.7856	0.965	1.169	1.356
508	1.052	1.323	1.506	1.571
509	1.008	1.287	1.564	1.675
510	0.815	1.002	1.242	1.392
511	0.8994	1.179	1.436	1.585
512	0.3352	0.5747	0.811	0.884
513	0.8535	1.06	1.225	0.956
514	1.218	1.487	1.67	1.742
515	0.4958	0.843	1.086	1.178
516	0.626	0.827	1.069	1.149
517	0.9155	1.126	1.361	1.439
518	0.702	0.959	1.156	1.254
519	0.9043	1.196	1.418	1.557
520	0.9795	1.199	1.445	1.533
521	0.8496	0.9478	1.102	1.121
522	0.906	1.145	1.315	0.8784
523	1.108	1.312	1.5625	1.664
524	0.8384	1.157	1.466	1.584
525	1.045	1.218	1.378	1.468
526	0.8164	1.017	1.191	1.252
527	0.8784	1.102	1.264	1.348
528	0.74	0.93	1.098	1.183
529	0.613	0.835	1.107	1.254
530	0.8228	1.15	1.43	1.479
531	0.703	0.9033	1.125	1.257
532	0.5713	0.816	0.9673	1.136
533	1.115	1.462	1.689	1.809
534	0.873	1.084	1.26	1.335
535	0.8667	1.083	1.251	1.36
536	0.558	0.7554	0.958	1.077
537	0.9673	1.163	1.332	1.385
538	0.7593	0.9165	1.041	1.103
539	0.7256	1.001	1.213	1.263
540	0.5737	0.816	0.963	1.007
541	0.537	0.794	0.9805	1.074
542	0.873	1.124	1.302	1.366
543	1.019	1.264	1.512	1.572
544	0.466	0.713	0.8755	0.9683
545	0.897	1.078	1.287	1.391
546	0.933	1.132	1.298	1.398
547	0.7793	1.03	1.271	1.401
548	0.8267	1.04	1.284	1.323
549	0.903	1.136	1.371	1.516
550	0.799	1.042	1.169	1.262
551	0.367	0.612	0.806	0.503
552	1.027	1.317	1.479	1.545
553	0.7686	0.947	1.124	1.129
554	0.7246	0.878	1.092	1.02
555	0.9062	1.164	1.3545	1.421
556	0.779	0.937	1.201	1.297
557	1.056	1.395	1.587	1.649
558	0.9683	1.073	1.256	1.328
559	0.572	0.857	1.072	1.115
560	0.9956	1.161	1.384	1.512
561	0.9043	1.15	1.422	1.473
562	0.7974	0.9727	1.144	1.309
563	0.8105	1.025	1.158	1.211
564	0.893	1.175	1.482	1.641
565	1.064	1.284	1.479	1.505
566	0.538	0.7197	0.8906	0.9946
567	1.109	1.282	1.54	1.652
568	0.881	1.083	1.271	1.28
569	0.9946	1.242	1.432	1.488
570	1.015	1.304	1.493	0.954
571	0.782	1.1	1.316	1.429
572	0.7983	0.9795	1.221	1.335
573	0.9297	1.145	1.334	1.422
574	1.2	1.531	1.7295	1.826
575	1.187	1.333	1.553	1.599
576	0.8164	1.021	1.204	1.263
577	1.063	1.218	1.411	1.466
578	1.178	1.628	1.778	1.805
579	0.92	1.257	1.469	1.556
580	0.8877	1.044	1.241	1.351
581	0.7446	1.018	1.29	1.382
582	1.043	1.273	1.494	1.548
583	0.8306	0.974	1.146	1.157
584	0.898	1.136	1.387	1.465
585	0.9	1.168	1.423	1.512
586	0.991	1.277	1.478	1.548
587	0.9336	1.22	1.397	1.473
588	0.9404	1.181	1.43	1.585
589	0.998	1.24	1.456	1.56
590	0.589	0.8003	0.9683	1.12
591	0.8413	1.141	1.308	1.373
592	0.744	1.009	1.213	1.284
593	0.814	1.057	1.286	1.411
594	0.8125	1.084	1.379	1.4795
595	0.9575	1.243	1.49	1.527
596	1.028	1.237	1.445	1.5205
597	0.587	0.8384	1.095	1.262
598	0.9536	1.131	1.245	1.344
599	0.9907	1.134	1.27	1.293
600	0.5137	0.782	0.9736	1.07
601	1.051	1.189	1.368	1.465
602	0.9185	1.216	1.391	1.497
603	0.9673	1.204	1.433	1.475
604	0.4897	0.757	1.009	1.114
605	0.9746	1.256	1.421	1.502
606	1.103	1.391	1.611	1.715
607	1.04	1.3545	1.564	1.67
608	0.783	1.09	1.3	1.36
609	0.932	1.13	1.335	1.434
610	0.8633	1.058	1.304	1.417
611	1.118	1.406	1.598	1.684
612	0.4436	0.6064	0.754	0.812
613	0.7383	0.908	1.023	0.822
614	0.8594	1.063	1.297	1.354
615	0.4849	0.6426	0.807	0.822
616	0.916	1.098	1.287	1.35
617	0.9175	1.151	1.333	1.359
618	0.8853	1.153	1.349	1.485
619	1.185	1.439	1.712	1.773
620	0.735	0.9507	1.083	1.136
621	0.9224	1.189	1.409	1.505
622	1.081	1.24	1.456	1.574
623	0.8364	1.036	1.139	1.144
624	0.824	1.026	1.243	1.289
625	0.546	0.836	1.075	1.145
626	0.8115	0.9526	1.037	1.044
627	0.9883	1.241	1.485	1.544
628	1.051	1.297	1.525	1.625
629	0.935	1.096	1.238	1.341
630	0.9175	1.068	1.291	1.393
631	0.665	0.8877	1.051	1.116
632	0.859	1.001	1.109	1.16
633	0.9917	1.222	1.492	1.607
634	1.159	1.415	1.702	1.797
635	0.5977	0.761	0.9805	1.098
636	0.662	0.8716	1.043	1.072
637	0.8037	1.134	1.418	1.551
638	0.915	1.148	1.346	1.393
639	1.081	1.391	1.567	1.66
640	0.8687	1.126	1.35	1.47
